INFO 2026-01-20 22:54:30,912 basehttp "GET /api/v1/devices/?page=1&page_size=5 HTTP/1.1" 200 137
INFO 2026-01-20 22:54:33,235 basehttp "OPTIONS /api/v1/auth/logout/ HTTP/1.1" 200 0
INFO 2026-01-20 22:54:33,484 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 200 47
WARNING 2026-01-20 22:54:41,716 basehttp "POST /api/v1/auth/login/ HTTP/1.1" 401 79
WARNING 2026-01-20 22:54:41,720 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,725 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,729 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,731 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,736 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,738 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,741 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,747 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,750 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,753 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,758 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,761 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,766 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,769 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,772 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,775 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,780 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,783 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,788 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,791 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,796 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,800 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,804 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,809 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,814 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
WARNING 2026-01-20 22:54:41,817 basehttp "POST /api/v1/auth/logout/ HTTP/1.1" 401 67
